語,件数,動画数
政治,1056,138
安芸高田,614,128
リハック,359,68
メディア,299,79
再生の道,255,38
マラソン,247,46
政策,243,73
神楽,233,33
高橋,231,53
教育,219,61
未来,201,77
サンフレ,190,48
ワイン,189,35
ボランティア,187,49
ニューヨーク,173,83
玉木,155,31
ガンダム,151,25
都知事選,134,69
ペンギン,125,29
ゲーム,115,37
アナリスト,96,53
吉村,94,30
日本人,94,54
グリーンラベル,83,33
結婚,82,35
彦根,76,30
クリスマス,73,17
バイク,72,19
ワンオク,68,23
バランス,64,32
リスク,64,27
マーケット,62,34
ラーメン,62,17
トライアスロン,61,22
悪口,61,31
若者,59,34
政治活動,58,33
日本酒,55,18
あきたかた焼き,54,20
内田,49,14
民主主義,49,23
BOOSTERS,48,17
アンチ,44,19
国会議員,42,24
黒夢,40,14
NHK,36,14
ひろゆき,36,22
NewsPicks,33,16
恋リア,32,9
生徒会長,31,9
バングラデシュ,30,8
誹謗中傷,30,16
高市,30,13
毎日新聞,25,5
多極分散,17,5
秒速5センチメートル,16,6
封神演義,15,7
兵庫県知事,10,7
テレ朝,8,4
大反攻,5,2
産経新聞,5,5
元気で飲めよ,1,1
